name,before,during,after
선재 X 보광,-0.520971359,0.844397544,0.706098953
선재 X 동방,0.674818658,0.869099128,0.352968324
선재 X 영화,0.521535534,0.964829165,0.584265248
선재 X 새우,0.251645715,0.798002496,0.359503648
보광 X 동방,-0.408182851,0.951015873,0.298622458
보광 X 영화,-0.144422859,0.804571597,0.585190853
보광 X 새우,-0.0368250663,0.91034445,0.359233529
동방 X 영화,0.70028401,0.839380948,0.577652559
동방 X 새우,0.556205865,0.907835478,0.399453979
영화 X 새우,0.645675991,0.743244295,0.759331708
